order_date,region,segment,revenue,profit,units_sold,discount_pct,customer_satisfaction,churned
2024-03-11,East,Home Office,505.7,108.4,10,0,5.0,0
2024-03-12,South,Consumer,685.43,145.92,8,0,5.0,0
2024-03-13,West,Consumer,563.75,72.93,19,5,5.0,0
2024-03-14,East,Consumer,558.81,151.75,10,5,4.8,0
2024-03-15,North,Consumer,561.48,163.03,14,10,3.9,0
2024-03-16,West,Consumer,281.5,56.7,11,0,5.0,0
2024-03-17,West,Home Office,475.3,89.84,16,0,4.9,0
2024-03-18,West,Home Office,461.1,54.89,5,0,4.9,0
2024-03-19,East,Corporate,531.13,129.68,14,0,4.4,0
2024-03-20,North,Corporate,296.2,99.26,12,0,4.8,0
2024-03-21,North,Home Office,745.12,175.74,13,15,4.0,0
2024-03-22,West,Home Office,515.66,135.71,6,0,5.0,0
2024-03-23,East,Consumer,318.3,72.29,15,0,4.4,0
2024-03-24,North,Corporate,243.67,36.73,15,10,4.5,0
2024-03-25,West,Corporate,457.81,122.16,17,20,4.0,0
2024-03-26,East,Corporate,486.55,67.28,18,10,4.1,0
2024-03-27,East,Home Office,392.26,74.32,12,10,,0
2024-03-28,South,Home Office,513.82,109.93,13,0,4.7,0
2024-03-29,South,Corporate,403.82,98.59,8,5,5.0,0
2024-03-30,North,Home Office,582.75,128.67,10,0,4.0,0
2024-03-31,North,Consumer,391.32,85.83,7,15,4.1,0
2024-04-01,West,Corporate,494.22,80.03,9,15,,0
2024-04-02,South,Consumer,646.83,87.67,7,5,4.6,0
2024-04-03,South,Consumer,885.75,179.87,12,15,4.6,0
2024-04-04,South,Home Office,348.85,57.38,9,10,4.2,0
2024-04-05,East,Corporate,430.32,57.93,15,10,4.6,0
2024-04-06,North,Consumer,374.02,51.13,13,0,4.7,0
2024-04-07,South,Corporate,617.65,108.39,9,0,5.0,0
2024-04-08,North,Consumer,327.79,35.19,10,0,5.0,0
2024-04-09,North,Consumer,427.35,56.68,14,15,4.7,0
2024-04-10,West,Corporate,495.56,58.6,6,15,3.7,0
2024-04-11,East,Corporate,353.2,73.86,14,15,3.8,0
2024-04-12,South,Consumer,356.4,78.55,16,15,4.7,0
2024-04-13,South,Corporate,428.66,128.75,11,15,4.2,0
2024-04-14,West,Corporate,184.93,23.14,13,5,4.6,0
2024-04-15,South,Consumer,283.18,47.01,8,10,4.6,0
2024-04-16,East,Home Office,438.04,107.6,12,0,4.5,0
2024-04-17,East,Consumer,522.23,98.79,15,10,4.8,0
2024-04-18,South,Corporate,472.14,86.71,8,0,5.0,0
2024-04-19,South,Consumer,233.9,66.77,7,20,4.2,0
2024-04-20,East,Home Office,430.43,78.8,11,15,4.0,0
2024-04-21,West,Consumer,619.77,88.12,7,0,5.0,0
2024-04-22,North,Home Office,583.38,78.26,15,10,4.2,0
2024-04-23,West,Home Office,488.19,105.83,11,15,4.6,0
2024-04-24,North,Consumer,366.89,78.98,12,0,5.0,0
2024-04-25,East,Consumer,594.68,78.15,19,5,5.0,0
2024-04-26,West,Consumer,413.16,62.28,10,5,5.0,0
2024-04-27,North,Consumer,324.61,73.6,10,10,4.8,0
2024-04-28,South,Corporate,379.67,86.89,17,15,3.2,0
2024-04-29,West,Consumer,717.25,120.38,12,10,4.8,0
2024-04-30,North,Home Office,533.03,123.19,14,0,4.9,0
2024-05-01,East,Corporate,673.89,154.05,12,5,,0
2024-05-02,East,Home Office,428.1,47.45,10,5,4.6,0
2024-05-03,South,Consumer,640.72,118.15,12,0,4.4,0
2024-05-04,East,Consumer,409.77,90.46,13,0,4.8,0
2024-05-05,North,Corporate,476.39,81.63,12,0,5.0,0
2024-05-06,North,Consumer,872.95,81.23,10,0,5.0,0
2024-05-07,South,Consumer,615.07,114.31,12,0,4.8,0
2024-05-08,North,Consumer,424.82,100.94,9,10,4.1,0
2024-05-09,South,Consumer,487.28,135.96,6,20,4.6,0
2024-05-10,West,Home Office,548.93,49.66,16,5,4.4,0
2024-05-11,East,Home Office,681.57,225.37,15,10,5.0,0
2024-05-12,South,Corporate,426.63,61.28,7,10,4.5,0
2024-05-13,North,Consumer,238.8,59.19,16,10,4.1,0
2024-05-14,West,Corporate,458.05,119.88,13,10,4.9,0
2024-05-15,South,Corporate,502.31,125.15,8,0,5.0,0
2024-05-16,West,Consumer,516.43,107.15,12,15,3.7,0
2024-05-17,South,Corporate,697.5,99.0,9,0,5.0,0
2024-05-18,South,Home Office,547.5,126.65,10,0,4.9,0
2024-05-19,West,Corporate,621.94,102.15,9,5,5.0,0
2024-05-20,East,Corporate,334.83,24.73,11,5,4.6,0
2024-05-21,East,Home Office,630.19,215.17,18,10,3.9,0
2024-05-22,South,Home Office,814.43,191.72,15,0,5.0,0
2024-05-23,West,Consumer,615.94,179.18,16,15,4.6,0
2024-05-24,South,Corporate,538.03,83.08,12,10,,0
2024-05-25,West,Home Office,523.1,143.0,15,15,4.9,0
2024-05-26,North,Consumer,768.07,214.67,9,5,,0
2024-05-27,South,Home Office,2156.02,598.79,15,0,4.9,0
2024-05-28,South,Corporate,483.33,96.15,21,0,,0
2024-05-29,West,Home Office,569.03,79.59,12,10,4.4,0
2024-05-30,North,Consumer,611.6,116.9,6,5,4.4,0
2024-05-31,West,Consumer,434.4,39.04,13,5,4.6,0
2024-06-01,East,Consumer,546.1,62.75,17,0,4.0,0
2024-06-02,East,Corporate,458.31,93.77,19,0,5.0,0
2024-06-03,East,Home Office,518.07,77.93,8,5,4.7,0
2024-06-04,West,Corporate,480.19,92.09,14,0,5.0,0
2024-06-05,South,Corporate,328.76,63.96,16,15,4.6,0
2024-06-06,South,Home Office,496.83,147.33,12,0,4.8,0
2024-06-07,North,Home Office,631.57,167.29,8,20,4.2,0
2024-06-08,North,Consumer,354.95,70.19,9,15,3.8,0
2024-06-09,North,Consumer,463.84,120.8,8,0,4.8,0
2024-06-10,West,Home Office,599.72,96.56,10,10,3.8,0
2024-06-11,West,Consumer,339.52,62.18,7,5,5.0,0
2024-06-12,North,Home Office,527.4,129.48,15,5,5.0,0
2024-06-13,East,Consumer,340.98,47.03,12,15,3.8,0
2024-06-14,South,Consumer,670.19,124.69,4,15,4.2,0
2024-06-15,East,Consumer,846.92,113.45,16,0,5.0,0
2024-06-16,East,Consumer,803.34,165.39,15,15,4.4,0
2024-06-17,South,Consumer,467.12,131.55,8,0,5.0,0
2024-06-18,West,Consumer,611.03,99.23,11,0,4.7,0
2024-06-19,South,Home Office,518.15,109.48,12,5,4.5,0
2024-06-20,East,Home Office,515.32,79.94,12,0,5.0,0
2024-06-21,East,Home Office,732.16,104.35,12,5,5.0,0
2024-06-22,North,Home Office,302.12,41.76,9,5,4.4,0
2024-06-23,North,Home Office,658.29,179.54,4,5,4.3,0
2024-06-24,South,Home Office,492.65,156.72,20,15,4.7,0
2024-06-25,East,Corporate,711.28,159.44,14,15,3.9,0
2024-06-26,West,Corporate,528.09,86.7,11,0,5.0,0
2024-06-27,East,Home Office,399.1,93.89,9,0,5.0,0
2024-06-28,North,Corporate,541.57,99.26,14,10,4.9,0
2024-06-29,West,Home Office,610.4,146.54,16,0,5.0,0
2024-06-30,West,Home Office,505.36,108.43,14,5,5.0,0
2024-07-01,West,Corporate,573.21,122.66,19,10,4.8,0
2024-07-02,South,Corporate,421.75,97.16,17,0,4.6,0
2024-07-03,West,Consumer,179.92,30.77,12,10,4.2,0
2024-07-04,North,Home Office,635.0,114.16,5,10,4.8,0
2024-07-05,North,Home Office,604.87,68.92,6,0,5.0,0
2024-07-06,North,Corporate,522.23,92.91,16,0,5.0,0
2024-07-07,North,Home Office,510.26,65.76,14,5,5.0,0
2024-07-08,North,Corporate,655.44,126.35,13,0,5.0,0
2024-07-09,North,Corporate,431.43,65.63,10,15,4.3,0
2024-07-10,East,Corporate,394.02,80.8,6,5,5.0,0
2024-07-11,North,Consumer,471.72,105.03,7,0,5.0,0
2024-07-12,East,Consumer,678.36,87.5,13,15,4.2,0
2024-07-13,North,Corporate,291.93,46.52,10,10,4.1,0
2024-07-14,East,Home Office,678.77,103.74,11,0,5.0,0
2024-07-15,North,Consumer,404.11,95.91,10,5,4.3,0
2024-07-16,South,Home Office,334.89,95.55,13,5,5.0,0
2024-07-17,West,Corporate,689.01,167.14,9,15,3.7,0
2024-07-18,South,Corporate,485.47,88.61,15,0,5.0,0
2024-07-19,West,Home Office,304.96,83.33,12,5,4.3,0
2024-07-20,East,Home Office,446.19,55.46,12,20,4.3,0
2024-07-21,East,Home Office,639.66,175.89,9,5,4.1,0
2024-07-22,North,Home Office,678.81,113.49,12,15,4.1,0
2024-07-23,East,Consumer,435.94,26.59,13,0,5.0,0
2024-07-24,North,Corporate,560.95,186.54,12,0,4.7,0
2024-07-25,West,Corporate,607.11,169.32,18,0,5.0,0
2024-07-26,West,Consumer,403.31,59.85,12,15,4.1,0
2024-07-27,West,Corporate,553.26,115.33,14,5,3.8,0
2024-07-28,North,Consumer,3342.53,632.66,13,0,5.0,0
2024-07-29,South,Corporate,419.6,86.06,10,0,5.0,0
2024-07-30,South,Consumer,426.18,53.63,13,5,4.3,0
2024-07-31,North,Consumer,510.06,84.63,17,0,5.0,0
2024-08-01,East,Consumer,504.48,112.7,9,5,4.4,0
2024-08-02,East,Home Office,415.18,87.66,9,10,4.1,0
2024-08-03,South,Corporate,436.11,113.37,17,0,5.0,0
2024-08-04,West,Corporate,667.0,136.06,8,0,4.7,0
2024-08-05,East,Home Office,532.07,168.91,9,0,5.0,0
2024-08-06,North,Consumer,632.76,103.91,11,0,4.4,0
2024-08-07,East,Consumer,680.27,144.88,15,15,4.5,0
2024-08-08,West,Corporate,588.33,61.29,14,0,5.0,0
2024-08-09,North,Home Office,5766.81,792.03,14,10,3.7,0
2024-08-10,East,Home Office,376.2,100.23,7,0,4.3,0
2024-08-11,East,Home Office,621.26,94.97,10,10,4.7,0
2024-08-12,East,Corporate,452.28,102.46,17,10,4.3,0
2024-08-13,North,Home Office,778.37,153.27,15,0,5.0,0
2024-08-14,East,Consumer,755.07,111.58,14,10,5.0,0
2024-08-15,East,Corporate,206.87,37.77,12,15,4.1,0
2024-08-16,West,Corporate,354.67,61.81,9,5,4.3,0
2024-08-17,West,Consumer,599.65,105.32,15,10,,0
2024-08-18,South,Consumer,618.48,147.0,16,0,5.0,0
2024-08-19,East,Home Office,610.48,142.01,9,0,4.6,0
2024-08-20,West,Home Office,489.37,83.75,19,10,4.6,0
2024-08-21,West,Consumer,568.27,87.88,8,15,4.3,0
2024-08-22,North,Consumer,597.95,128.03,17,0,4.4,0
2024-08-23,North,Consumer,488.32,95.22,11,0,5.0,0
2024-08-24,East,Consumer,654.1,164.45,18,0,5.0,0
2024-08-25,North,Home Office,161.08,53.6,17,10,4.8,0
2024-08-26,East,Consumer,595.07,144.09,11,0,4.5,0
2024-08-27,West,Home Office,344.89,68.38,9,20,3.8,0
2024-08-28,South,Home Office,643.8,123.22,9,10,4.3,0
2024-08-29,North,Consumer,465.7,73.19,12,15,4.1,0
2024-08-30,South,Consumer,366.68,56.71,15,5,4.3,0
2024-08-31,East,Consumer,556.09,83.32,11,10,4.7,0
2024-09-01,North,Home Office,363.3,65.48,7,20,4.1,0
2024-09-02,South,Home Office,363.08,64.86,13,0,5.0,0
2024-09-03,North,Home Office,264.91,62.83,12,5,4.5,0
2024-09-04,East,Consumer,495.99,89.3,8,0,5.0,0
2024-09-05,West,Home Office,574.52,109.23,14,10,4.6,0
2024-09-06,South,Home Office,653.45,90.89,15,0,3.9,0
2024-09-07,South,Corporate,478.74,135.11,16,10,4.2,0
2024-09-08,South,Consumer,657.18,148.09,11,0,5.0,0
2024-09-09,North,Consumer,502.69,145.5,11,10,4.9,0
2024-09-10,North,Home Office,486.01,116.57,8,10,4.4,0
2024-09-11,South,Corporate,586.03,160.86,17,15,4.1,0
2024-09-12,South,Consumer,658.76,123.57,12,15,4.0,0
2024-09-13,North,Home Office,448.78,105.85,10,5,5.0,0
2024-09-14,East,Corporate,463.44,155.38,8,10,4.3,0
2024-09-15,East,Corporate,475.88,66.06,11,0,4.8,0
2024-09-16,North,Consumer,512.42,132.62,14,0,4.7,0
2024-09-17,North,Corporate,364.94,103.97,9,10,4.7,0
2024-09-18,East,Corporate,654.2,144.62,14,15,4.0,0
2024-09-19,North,Consumer,439.94,104.82,11,10,,0
2024-09-20,North,Home Office,569.37,150.3,12,5,5.0,0
2024-09-21,North,Corporate,376.18,62.63,11,10,4.2,0
2024-09-22,North,Consumer,553.82,122.32,10,10,4.6,0
2024-09-23,West,Consumer,558.74,86.94,16,5,4.9,0
2024-09-24,North,Consumer,436.9,72.28,14,0,5.0,0
2024-09-25,South,Home Office,803.13,135.27,9,15,4.7,0
2024-09-26,West,Home Office,555.66,107.07,8,0,,0
2024-09-27,East,Home Office,766.54,159.05,13,15,4.2,0
2024-09-28,North,Corporate,643.87,143.68,9,10,4.0,0
2024-09-29,South,Home Office,400.66,51.07,14,10,5.0,0
2024-09-30,West,Consumer,442.67,133.39,14,15,4.4,0
2024-10-01,South,Corporate,565.42,146.54,14,20,4.6,0
2024-10-02,East,Corporate,509.18,120.77,13,20,3.9,0
2024-10-03,North,Corporate,507.42,92.18,17,5,3.9,0
2024-10-04,East,Corporate,457.07,89.33,11,0,5.0,0
2024-10-05,East,Home Office,228.73,52.16,9,10,4.5,0
2024-10-06,West,Home Office,466.19,103.06,14,20,4.1,0
2024-10-07,East,Home Office,167.28,19.06,9,10,4.5,0
2024-10-08,South,Consumer,555.77,132.25,9,0,5.0,0
2024-10-09,North,Home Office,391.09,136.65,9,0,5.0,0
2024-10-10,South,Home Office,392.69,41.36,17,5,4.1,0
2024-10-11,East,Home Office,467.1,117.24,9,10,4.9,0
2024-10-12,North,Corporate,540.9,118.42,9,15,4.0,0
2024-10-13,North,Consumer,285.2,55.41,8,0,4.8,0
2024-10-14,South,Home Office,237.71,64.27,9,5,5.0,0
2024-10-15,East,Consumer,340.09,47.38,13,5,5.0,0
2024-10-16,West,Corporate,193.74,40.37,10,0,4.9,0
2024-10-17,North,Corporate,354.97,97.65,16,0,4.3,0
2024-10-18,North,Home Office,738.63,140.26,13,5,4.8,0
2024-10-19,East,Consumer,341.51,60.97,13,5,5.0,0
2024-10-20,East,Home Office,597.71,123.07,12,15,4.2,0
2024-10-21,East,Consumer,294.25,52.13,16,0,4.5,0
2024-10-22,West,Corporate,544.87,152.27,15,15,3.9,0
2024-10-23,West,Consumer,452.04,69.35,17,0,4.5,0
2024-10-24,West,Consumer,491.03,120.23,7,5,4.8,0
2024-10-25,East,Consumer,585.32,79.41,14,10,,0
2024-10-26,South,Home Office,763.44,178.93,11,0,5.0,0
2024-10-27,East,Corporate,529.21,102.99,8,15,4.0,0
2024-10-28,North,Home Office,518.65,34.88,10,20,4.1,0
2024-10-29,East,Consumer,353.99,70.69,19,20,4.2,0
2024-10-30,East,Consumer,587.5,85.28,20,0,4.8,0
2024-10-31,East,Home Office,463.09,82.04,11,10,4.4,0
2024-11-01,South,Home Office,624.8,174.37,8,10,5.0,0
2024-11-02,South,Corporate,493.44,70.35,17,15,4.3,0
2024-11-03,South,Consumer,761.13,110.75,11,0,5.0,0
2024-11-04,North,Home Office,202.56,55.51,9,0,4.8,0
2024-11-05,West,Corporate,455.51,93.82,12,15,4.3,0
2024-11-06,South,Consumer,632.22,176.54,4,0,4.3,0
2024-11-07,South,Home Office,447.4,96.92,8,0,5.0,0
2024-11-08,South,Corporate,381.17,58.95,15,0,5.0,0
2024-11-09,East,Corporate,460.12,90.46,13,10,5.0,0
2024-11-10,South,Corporate,293.01,77.12,19,5,5.0,0
2024-11-11,West,Consumer,517.84,128.62,9,10,4.8,0
2024-11-12,West,Corporate,866.07,173.25,9,15,4.3,0
2024-11-13,South,Consumer,671.75,136.04,11,0,4.8,0
2024-11-14,North,Corporate,333.65,64.8,12,15,4.2,0
2024-11-15,East,Consumer,369.0,62.83,21,15,4.5,0
2024-11-16,West,Home Office,439.29,131.48,15,15,3.9,0
2024-11-17,North,Consumer,650.66,130.37,14,10,4.9,0
2024-11-18,East,Corporate,376.78,53.45,11,0,4.6,0
2024-11-19,West,Consumer,396.47,69.57,18,0,4.3,0
2024-11-20,West,Consumer,632.71,150.17,6,15,3.8,0
2024-11-21,North,Consumer,629.7,146.71,17,5,4.1,0
2024-11-22,North,Home Office,443.93,85.66,7,5,4.2,0
2024-11-23,West,Consumer,332.34,55.05,16,10,5.0,0
2024-11-24,North,Home Office,267.54,53.84,8,10,4.4,0
2024-11-25,North,Corporate,395.15,45.03,9,10,4.6,0
2024-11-26,East,Corporate,165.42,22.01,21,10,5.0,0
2024-11-27,South,Consumer,612.47,147.65,9,5,5.0,0
2024-11-28,East,Corporate,405.5,71.11,12,10,4.3,0
2024-11-29,North,Home Office,572.19,125.47,18,0,5.0,0
2024-11-30,West,Home Office,780.25,204.92,13,0,5.0,0
2024-12-01,North,Home Office,675.95,157.76,12,15,4.3,0
2024-12-02,East,Corporate,327.33,65.81,7,15,4.4,0
2024-12-03,North,Consumer,630.39,195.04,10,10,3.9,0
2024-12-04,South,Consumer,673.68,157.86,14,0,4.7,0
2024-12-05,North,Corporate,388.05,70.54,7,0,5.0,0
2024-12-06,South,Corporate,357.01,84.84,14,15,4.5,0
2024-12-07,South,Corporate,483.55,106.85,14,15,4.1,0
2024-12-08,East,Corporate,259.79,40.53,12,0,4.9,0
2024-12-09,South,Consumer,720.61,146.82,6,10,4.9,0
2024-12-10,North,Corporate,139.2,26.66,15,0,5.0,0
2024-12-11,West,Consumer,333.98,33.04,12,0,5.0,0
2024-12-12,West,Home Office,459.57,87.84,11,10,5.0,0
2024-12-13,West,Home Office,465.94,86.41,14,0,4.8,0
2024-12-14,North,Home Office,524.92,93.16,9,15,4.1,0
2024-12-15,South,Corporate,2953.73,340.99,14,15,4.4,0
2024-12-16,North,Home Office,467.96,85.06,17,0,4.9,0
2024-12-17,North,Home Office,670.53,132.74,6,10,4.3,0
2024-12-18,North,Corporate,179.09,36.76,13,0,5.0,0
2024-12-19,South,Consumer,499.98,70.81,15,0,4.9,0
2024-12-20,North,Home Office,392.81,91.33,19,0,4.6,0
2024-12-21,North,Corporate,519.88,71.49,12,5,4.9,0
2024-12-22,West,Corporate,533.11,100.49,11,15,5.0,0
2024-12-23,South,Home Office,363.23,97.01,11,10,4.5,0
2024-12-24,North,Home Office,403.86,66.4,9,0,5.0,0
2024-12-25,East,Home Office,618.89,107.53,11,0,4.8,0
2024-12-26,North,Consumer,552.36,140.94,7,20,3.8,0
2024-12-27,South,Consumer,397.96,71.74,6,5,4.5,0
2024-12-28,North,Corporate,805.98,148.9,10,10,4.4,0
2024-12-29,South,Corporate,846.38,178.9,9,0,5.0,0
2024-12-30,East,Consumer,280.63,71.26,13,15,3.8,0
2024-12-31,South,Corporate,545.27,47.31,9,5,5.0,0
2025-01-01,South,Corporate,876.35,137.97,13,5,4.3,0
2025-01-02,East,Home Office,617.58,91.56,10,0,4.9,0
2025-01-03,West,Home Office,533.16,76.92,18,10,,0
2025-01-04,North,Consumer,468.79,73.18,16,0,5.0,0
2025-01-05,North,Corporate,418.82,65.72,13,0,5.0,0
2025-01-06,North,Consumer,468.12,100.86,14,5,4.1,0
2025-01-07,West,Consumer,417.39,64.44,14,15,4.4,0
2025-01-08,West,Home Office,3457.83,713.28,10,0,4.6,0
2025-01-09,North,Corporate,440.28,97.11,11,0,5.0,0
2025-01-10,West,Corporate,433.83,70.54,19,0,4.9,0
2025-01-11,North,Home Office,319.68,66.08,7,10,4.6,0
2025-01-12,South,Corporate,492.56,139.83,14,10,4.0,0
2025-01-13,South,Home Office,365.88,79.21,16,0,4.8,0
2025-01-14,West,Home Office,472.89,79.14,5,5,4.2,0
2025-01-15,North,Home Office,656.27,129.07,9,5,5.0,0
2025-01-16,South,Consumer,554.89,84.96,16,0,4.9,0
2025-01-17,East,Corporate,575.71,123.12,11,5,5.0,0
2025-01-18,North,Consumer,553.41,135.1,6,0,4.7,0
2025-01-19,North,Home Office,508.88,80.45,11,0,4.8,0
2025-01-20,South,Corporate,480.9,91.04,9,20,4.5,0
2025-01-21,West,Consumer,453.83,116.57,9,0,4.6,0
2025-01-22,East,Consumer,4885.25,852.85,12,0,4.3,0
2025-01-23,West,Consumer,337.36,70.71,14,10,4.7,0
2025-01-24,East,Consumer,701.11,103.55,20,5,4.3,0
2025-01-25,East,Consumer,505.11,79.89,17,0,4.8,0
2025-01-26,West,Corporate,387.69,67.39,11,15,,0
2025-01-27,East,Consumer,426.63,131.75,13,0,4.7,0
2025-01-28,East,Home Office,398.45,71.54,12,5,5.0,0
2025-01-29,South,Corporate,524.03,90.92,9,15,4.0,0
2025-01-30,North,Corporate,392.32,67.42,9,20,4.6,0
2025-01-31,East,Corporate,671.32,128.71,12,15,4.8,0
2025-02-01,North,Corporate,382.75,89.1,11,5,4.6,0
2025-02-02,West,Home Office,159.12,33.33,14,10,4.4,0
2025-02-03,East,Consumer,390.35,118.23,13,15,3.9,0
2025-02-04,South,Corporate,198.72,41.87,16,0,5.0,0
2025-02-05,West,Corporate,494.02,134.56,11,20,4.5,0
2025-02-06,North,Home Office,658.87,140.89,10,0,4.4,0
2025-02-07,South,Home Office,597.16,137.51,5,10,4.9,0
2025-02-08,North,Home Office,299.36,38.26,11,0,4.5,0
2025-02-09,West,Corporate,385.66,74.68,11,0,4.7,0
2025-02-10,East,Consumer,766.8,150.72,16,0,4.3,0
2025-02-11,West,Home Office,547.78,102.9,11,15,5.0,0
2025-02-12,North,Home Office,500.62,46.24,13,0,5.0,0
2025-02-13,West,Corporate,658.41,160.67,9,15,4.3,0
2025-02-14,East,Corporate,867.91,156.78,8,0,4.7,0
2025-02-15,East,Consumer,694.49,123.69,13,0,5.0,0
2025-02-16,West,Corporate,520.91,97.54,9,0,4.2,0
2025-02-17,South,Corporate,553.2,104.33,13,20,4.0,0
2025-02-18,South,Home Office,592.56,130.57,9,0,5.0,0
2025-02-19,East,Corporate,408.1,55.68,17,15,4.1,0
2025-02-20,West,Consumer,341.19,52.36,10,0,5.0,0
2025-02-21,South,Consumer,507.87,108.95,14,20,4.3,0
2025-02-22,East,Corporate,357.92,74.19,18,10,4.2,0
2025-02-23,North,Corporate,490.78,88.91,15,0,5.0,0
2025-02-24,East,Home Office,514.42,88.12,11,5,5.0,0
2025-02-25,East,Home Office,851.16,134.72,12,0,5.0,0
2025-02-26,North,Corporate,372.34,73.38,11,5,4.9,0
2025-02-27,East,Consumer,481.73,124.79,11,0,4.9,0
2025-02-28,North,Home Office,475.35,69.92,15,10,4.6,0
2025-03-01,West,Corporate,565.6,156.2,11,5,,0
2025-03-02,South,Home Office,657.01,159.13,11,0,5.0,0
2025-03-03,South,Home Office,426.43,75.63,11,0,5.0,0
2025-03-04,East,Consumer,376.8,90.11,6,15,4.2,0
2025-03-05,South,Corporate,253.89,32.17,16,0,4.0,0
2025-03-06,East,Corporate,361.07,40.95,14,0,5.0,0
2025-03-07,North,Consumer,580.47,78.66,13,0,5.0,0
2025-03-08,East,Home Office,506.85,90.99,12,0,4.6,0
2025-03-09,East,Corporate,347.68,63.88,9,5,4.0,0
2025-03-10,West,Home Office,444.08,77.38,11,5,4.3,0
2025-03-11,North,Corporate,504.72,103.45,12,0,5.0,0
